ASN,Count,Cumul_C,Share,Cumul_S,ASName,ASCountry
44066,3,7481,0.03197271661515507%,79.72929766599168%,DE-FIRSTCOLO www.first-colo.net,DE
46887,3,7484,0.03197271661515507%,79.76127038260684%,LIGHTOWER,US
49071,3,7487,0.03197271661515507%,79.793243099222%,SWISSTXT Schweizerische Teletext AG,CH
50340,3,7490,0.03197271661515507%,79.82521581583714%,SELECTEL-MSK,RU
54825,3,7493,0.03197271661515507%,79.85718853245231%,PACKET,US
55293,3,7496,0.03197271661515507%,79.88916124906747%,A2HOSTING,US
55992,3,7499,0.03197271661515507%,79.92113396568263%,QIHOO Beijing Qihu Technology Company Limited,CN
56040,3,7502,0.03197271661515507%,79.95310668229777%,CMNET-GUANGDONG-AP China Mobile communications corporation,CN
56048,3,7505,0.03197271661515507%,79.98507939891293%,CMNET-BEIJING-AP China Mobile Communicaitons Corporation,CN
62660,3,7508,0.03197271661515507%,80.01705211552809%,WHISKEYNET,US
62729,3,7511,0.03197271661515507%,80.04902483214323%,ASMALLORANGE1,US
62904,3,7514,0.03197271661515507%,80.08099754875839%,EONIX-COMMUNICATIONS-ASBLOCK-62904,US
64432,3,7517,0.03197271661515507%,80.11297026537355%,VARITI-AS,RU
133776,3,7520,0.03197271661515507%,80.14494298198869%,CHINATELECOM-FUJIAN-QUANZHOU-IDC1 Quanzhou,CN
136190,3,7523,0.03197271661515507%,80.17691569860386%,CHINATELECOM-ZHEJIANG-JINHUA-IDC JINHUA ZHEJIANG Province P.R.China.,CN
137702,3,7526,0.03197271661515507%,80.20888841521902%,CHINATELECOM-JIANGSU-NANJING-IDC Nanjing Jiangsu Province P.R.China.,CN
198047,3,7529,0.03197271661515507%,80.24086113183418%,UKWEB-EQX,GB
198913,3,7532,0.03197271661515507%,80.27283384844932%,BABIEL-NET,DE
200093,3,7535,0.03197271661515507%,80.30480656506448%,T-SYSTEMS-AS,DE
262254,3,7538,0.03197271661515507%,80.33677928167964%,DDOS-GUARD CORP.,BZ
396349,3,7541,0.03197271661515507%,80.36875199829478%,FIVE-COLLEGE-DATA-NETWORK-AS,US
14,2,7543,0.021315144410103376%,80.3900671427049%,COLUMBIA-GW,US
20,2,7545,0.021315144410103376%,80.411382287115%,UR,US
26,2,7547,0.021315144410103376%,80.4326974315251%,CORNELL,US
32,2,7549,0.021315144410103376%,80.4540125759352%,STANFORD,US
38,2,7551,0.021315144410103376%,80.4753277203453%,UIUC,US
71,2,7553,0.021315144410103376%,80.4966428647554%,HP-INTERNET-AS,US
81,2,7555,0.021315144410103376%,80.51795800916551%,NCREN,US
104,2,7557,0.021315144410103376%,80.53927315357562%,COLORADO-AS,US
156,2,7559,0.021315144410103376%,80.56058829798572%,NORTHEASTERN-GW-AS,US
225,2,7561,0.021315144410103376%,80.58190344239581%,VIRGINIA-AS,US
239,2,7563,0.021315144410103376%,80.60321858680592%,UTORONTO-AS,CA
577,2,7565,0.021315144410103376%,80.62453373121603%,BACOM,CA
675,2,7567,0.021315144410103376%,80.64584887562614%,MSUS-AS,US
702,2,7569,0.021315144410103376%,80.66716402003622%,UUNET,US
797,2,7571,0.021315144410103376%,80.68847916444633%,AMERITECH-AS,US
852,2,7573,0.021315144410103376%,80.70979430885644%,ASN852,CA
1136,2,7575,0.021315144410103376%,80.73110945326654%,KPN KPN National,EU
1213,2,7577,0.021315144410103376%,80.75242459767665%,HEANET,IE
1273,2,7579,0.021315144410103376%,80.77373974208675%,CW Vodafone Group PLC,EU
1280,2,7581,0.021315144410103376%,80.79505488649686%,ISC-AS-1280,US
1294,2,7583,0.021315144410103376%,80.81637003090695%,NTTDATA-SERVICES-AS1,US
1610,2,7585,0.021315144410103376%,80.83768517531706%,CONTE-25-ASN,US
1945,2,7587,0.021315144410103376%,80.85900031972717%,FR-LYRES Lyon Recherche et Enseignement Superieur (LyRES),EU
1968,2,7589,0.021315144410103376%,80.88031546413727%,UMASSP-DOM,US
2018,2,7591,0.021315144410103376%,80.90163060854736%,TENET-1,ZA
2044,2,7593,0.021315144410103376%,80.92294575295747%,IINET-2044,US
2116,2,7595,0.021315144410103376%,80.94426089736758%,ASN-CATCHCOM,NO
2518,2,7597,0.021315144410103376%,80.96557604177768%,BIGLOBE BIGLOBE Inc.,JP
2665,2,7599,0.021315144410103376%,80.98689118618778%,CDAGOVN,CA
2701,2,7601,0.021315144410103376%,81.00820633059789%,KSU-NET,US
2714,2,7603,0.021315144410103376%,81.029521475008%,GSA-GOV,US
2715,2,7605,0.021315144410103376%,81.05083661941809%,Fundacao Carlos Chagas Filho de Amparo a Pesquisa,BR
2860,2,7607,0.021315144410103376%,81.0721517638282%,NOS_COMUNICACOES,PT
2907,2,7609,0.021315144410103376%,81.0934669082383%,SINET-AS Research Organization of Information and Systems National Institute of Informatics,JP
3136,2,7611,0.021315144410103376%,81.11478205264841%,STATE-OF-WISCONSIN-AS1,US
3359,2,7613,0.021315144410103376%,81.1360971970585%,U-ALBERTA,CA
3361,2,7615,0.021315144410103376%,81.15741234146861%,DF-TUKWILA01,US
3423,2,7617,0.021315144410103376%,81.17872748587872%,ATTIS-ASN3423,US
3527,2,7619,0.021315144410103376%,81.20004263028882%,NIH-NET,US
3659,2,7621,0.021315144410103376%,81.22135777469892%,CLAREMONT,US
3680,2,7623,0.021315144410103376%,81.24267291910903%,NOVELL,US
3800,2,7625,0.021315144410103376%,81.26398806351914%,AS3800,US
3842,2,7627,0.021315144410103376%,81.28530320792923%,RAMNODE,US
4152,2,7629,0.021315144410103376%,81.30661835233933%,USDA-1,US
4230,2,7631,0.021315144410103376%,81.32793349674944%,CLARO S.A.,BR
4264,2,7633,0.021315144410103376%,81.34924864115955%,CERNET-ASN-BLOCK,US
4373,2,7635,0.021315144410103376%,81.37056378556964%,OCLC-AS,US
4685,2,7637,0.021315144410103376%,81.39187892997975%,ASAHI-NET Asahi Net,JP
4802,2,7639,0.021315144410103376%,81.41319407438985%,ASN-IINET iiNet Limited,AU
4809,2,7641,0.021315144410103376%,81.43450921879996%,CHINATELECOM-CORE-WAN-CN2 China Telecom Next Generation Carrier Network,CN
4835,2,7643,0.021315144410103376%,81.45582436321006%,CHINANET-IDC-SN China Telecom (Group),CN
5518,2,7645,0.021315144410103376%,81.47713950762017%,TELIALATVIJA,LV
5588,2,7647,0.021315144410103376%,81.49845465203028%,GTSCE GTS Central Europe / Antel Germany,CZ
5607,2,7649,0.021315144410103376%,81.51976979644037%,BSKYB-BROADBAND-AS,GB
5662,2,7651,0.021315144410103376%,81.54108494085047%,ASN-TBS-1,US
5719,2,7653,0.021315144410103376%,81.56240008526058%,SUNYSB,US
6325,2,7655,0.021315144410103376%,81.58371522967069%,ILLINOIS-CENTURY,US
6453,2,7657,0.021315144410103376%,81.60503037408078%,AS6453,US
6461,2,7659,0.021315144410103376%,81.62634551849088%,ZAYO-6461,US
6527,2,7661,0.021315144410103376%,81.64766066290099%,MASSACHUSETTS,US
6697,2,7663,0.021315144410103376%,81.6689758073111%,BELPAK-AS BELPAK,BY
6738,2,7665,0.021315144410103376%,81.6902909517212%,DRI,FR
6848,2,7667,0.021315144410103376%,81.7116060961313%,TELENET-AS,BE
7489,2,7669,0.021315144410103376%,81.7329212405414%,HOSTUS-GLOBAL-AS HostUS,HK
7743,2,7671,0.021315144410103376%,81.75423638495151%,AS-7743,US
7774,2,7673,0.021315144410103376%,81.7755515293616%,ALASKA,US
7896,2,7675,0.021315144410103376%,81.79686667377172%,NU-AS,US
8103,2,7677,0.021315144410103376%,81.81818181818183%,STATE-OF-FLA,US
8234,2,7679,0.021315144410103376%,81.83949696259192%,RAI-AS,IT
8308,2,7681,0.021315144410103376%,81.86081210700202%,NASK-COMMERCIAL,PL
8590,2,7683,0.021315144410103376%,81.88212725141213%,BMW Bayerische Motoren Werke Aktiengesellschaft,DE
8660,2,7685,0.021315144410103376%,81.90344239582224%,MATRIX-AS,IT
8972,2,7687,0.021315144410103376%,81.92475754023233%,GD-EMEA-DC-SXB1,DE
8987,2,7689,0.021315144410103376%,81.94607268464243%,AMAZON EXPANSION,GB
9112,2,7691,0.021315144410103376%,81.96738782905254%,POZMAN POZMAN-EDU,PL
9304,2,7693,0.021315144410103376%,81.98870297346265%,HUTCHISON-AS-AP HGC Global Communications Limited,HK
9370,2,7695,0.021315144410103376%,82.01001811787275%,SAKURA-B SAKURA Internet Inc.,JP
9371,2,7697,0.021315144410103376%,82.03133326228286%,SAKURA-C SAKURA Internet Inc.,JP
9583,2,7699,0.021315144410103376%,82.05264840669295%,SIFY-AS-IN Sify Limited,IN
9667,2,7701,0.021315144410103376%,82.07396355110306%,HOSTWORKS-AS-AP 5G NETWORK OPERATIONS PTY LTD,AU
9919,2,7703,0.021315144410103376%,82.09527869551316%,NCIC-TW New Century InfoComm Tech Co. Ltd.,TW
10694,2,7705,0.021315144410103376%,82.11659383992327%,MONST-2AS,US
10753,2,7707,0.021315144410103376%,82.13790898433338%,LVLT-10753,US
11051,2,7709,0.021315144410103376%,82.15922412874347%,CYBERVERSE,US
11106,2,7711,0.021315144410103376%,82.18053927315357%,WOLFRAM-AS,US
11207,2,7713,0.021315144410103376%,82.20185441756368%,BOSTONGLOBENET,US
11320,2,7715,0.021315144410103376%,82.22316956197379%,LIGHTEDGE-AS-02,US
11377,2,7717,0.021315144410103376%,82.24448470638389%,SENDGRID,US
11403,2,7719,0.021315144410103376%,82.26579985079398%,NYINTERNET,US
11790,2,7721,0.021315144410103376%,82.28711499520409%,RANDOMHOUSE,US
11872,2,7723,0.021315144410103376%,82.3084301396142%,SYRACUSE-UNIVERSITY,US
11985,2,7725,0.021315144410103376%,82.3297452840243%,ASN-SSA,US
12052,2,7727,0.021315144410103376%,82.3510604284344%,VFC,US
12188,2,7729,0.021315144410103376%,82.3723755728445%,Q9-AS,CA
12291,2,7731,0.021315144410103376%,82.39369071725461%,DPAG-AS Deutsche Post AG,DE
12333,2,7733,0.021315144410103376%,82.41500586166471%,DFINET Geneva Switzerland,CH
12389,2,7735,0.021315144410103376%,82.43632100607482%,ROSTELECOM-AS,RU
12695,2,7737,0.021315144410103376%,82.45763615048492%,DINET-AS,RU
12731,2,7739,0.021315144410103376%,82.47895129489503%,IPHH IPHH Internet Port Hamburg GmbH,DE
12807,2,7741,0.021315144410103376%,82.50026643930512%,OAB,FR
12990,2,7743,0.021315144410103376%,82.52158158371523%,ONET-PL-AS1 Onet.pl portal network,PL
13193,2,7745,0.021315144410103376%,82.54289672812534%,ASN-NERIM,FR
13243,2,7747,0.021315144410103376%,82.56421187253544%,AS13243,NO
13462,2,7749,0.021315144410103376%,82.58552701694553%,IEEE,US
13499,2,7751,0.021315144410103376%,82.60684216135564%,ASCENTRALCOLO,US
13748,2,7753,0.021315144410103376%,82.62815730576575%,CSHL,US
13909,2,7755,0.021315144410103376%,82.64947245017585%,TECHIEMEDIA,US
14244,2,7757,0.021315144410103376%,82.67078759458595%,NSIHOSTING-EQX-VA,US
14298,2,7759,0.021315144410103376%,82.69210273899606%,EPA-NET,US
14340,2,7761,0.021315144410103376%,82.71341788340617%,SALESFORCE,US
14744,2,7763,0.021315144410103376%,82.73473302781626%,INTERNAP-BLOCK-4,US
15211,2,7765,0.021315144410103376%,82.75604817222637%,SQUARE,US
15348,2,7767,0.021315144410103376%,82.77736331663647%,TUCOWS,CA
15557,2,7769,0.021315144410103376%,82.79867846104658%,LDCOMNET,FR
15703,2,7771,0.021315144410103376%,82.81999360545667%,TRUESERVER-AS TrueServer BV AS number,NL
15879,2,7773,0.021315144410103376%,82.84130874986678%,KPN-INTERNEDSERVICES,NL
16652,2,7775,0.021315144410103376%,82.8626238942769%,RISEUP,US
16807,2,7777,0.021315144410103376%,82.88393903868698%,IBM-EI,US
16815,2,7779,0.021315144410103376%,82.90525418309709%,GOTO-PRIMARY-AS,US
16919,2,7781,0.021315144410103376%,82.9265693275072%,CBNY,US
17012,2,7783,0.021315144410103376%,82.9478844719173%,PAYPAL,US
17035,2,7785,0.021315144410103376%,82.9691996163274%,NBCUNI-17035,US
17135,2,7787,0.021315144410103376%,82.9905147607375%,OHIOU,US
17374,2,7789,0.021315144410103376%,83.01182990514761%,WALMART,US
17781,2,7791,0.021315144410103376%,83.03314504955772%,XHNEWS XINHUA NEWS AGENCY,CN
18403,2,7793,0.021315144410103376%,83.05446019396781%,FPT-AS-AP The Corporation for Financing & Promoting Technology,VN
18450,2,7795,0.021315144410103376%,83.07577533837792%,WEBNX,US
18978,2,7797,0.021315144410103376%,83.09709048278802%,ENZUINC-,US
19648,2,7799,0.021315144410103376%,83.11840562719811%,LDSCHURCH1,US
19679,2,7801,0.021315144410103376%,83.13972077160822%,DROPBOX,US
20021,2,7803,0.021315144410103376%,83.16103591601834%,LNH-INC,US
20426,2,7805,0.021315144410103376%,83.18235106042845%,PWC-AS,US
20746,2,7807,0.021315144410103376%,83.20366620483853%,ASN-IDC T.NO.OM.I.NC,IT
20756,2,7809,0.021315144410103376%,83.22498134924864%,NAMESHIELD,FR
20860,2,7811,0.021315144410103376%,83.24629649365875%,IOMART-AS,GB
21740,2,7813,0.021315144410103376%,83.26761163806886%,ENOMAS1,US
22653,2,7815,0.021315144410103376%,83.28892678247895%,GLOBALCOMPASS,US
22671,2,7817,0.021315144410103376%,83.31024192688905%,AAAS,US
22773,2,7819,0.021315144410103376%,83.33155707129916%,ASN-CXA-ALL-CCI-22773-RDC,US
22834,2,7821,0.021315144410103376%,83.35287221570925%,BOSTONCOLLEGE,US
23637,2,7823,0.021315144410103376%,83.37418736011936%,BI-CDN-IX Equinix Jpapan Enterprise K.K.,JP
23719,2,7825,0.021315144410103376%,83.39550250452947%,USYD-AS-AP University of Sydney,AU
24400,2,7827,0.021315144410103376%,83.41681764893957%,CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co. Ltd.,CN
24961,2,7829,0.021315144410103376%,83.43813279334967%,MYLOC-AS IP Backbone of myLoc managed IT AG,DE
24971,2,7831,0.021315144410103376%,83.45944793775978%,MASTER-AS Czech Republic / www.master.cz,CZ
25159,2,7833,0.021315144410103376%,83.48076308216989%,SONICDUO-AS,RU
25180,2,7835,0.021315144410103376%,83.50207822658%,EXPONENTIAL-E-AS,GB
25369,2,7837,0.021315144410103376%,83.52339337099008%,BANDWIDTH-AS,GB
25829,2,7839,0.021315144410103376%,83.54470851540019%,SMITHSONIAN,US
26020,2,7841,0.021315144410103376%,83.5660236598103%,STSCI-NET,US
26484,2,7843,0.021315144410103376%,83.5873388042204%,IKGUL-26484,US
28604,2,7845,0.021315144410103376%,83.6086539486305%,Globo Comunicacao e Participacoes SA,BR
28753,2,7847,0.021315144410103376%,83.6299690930406%,LEASEWEB-DE-FRA-10,DE
28756,2,7849,0.021315144410103376%,83.65128423745071%,EPO-AS,NL
28810,2,7851,0.021315144410103376%,83.6725993818608%,WHO-AS,EU
29119,2,7853,0.021315144410103376%,83.69391452627092%,SERVIHOSTING-AS AireNetworks,ES
29311,2,7855,0.021315144410103376%,83.71522967068103%,SOLVINITY-,NL
29389,2,7857,0.021315144410103376%,83.73654481509112%,ASN-UNIAN,UA
29419,2,7859,0.021315144410103376%,83.75785995950122%,ALMAVIVA,IT
29686,2,7861,0.021315144410103376%,83.77917510391133%,PROBENETWORKS-AS,DE
29854,2,7863,0.021315144410103376%,83.80049024832144%,WESTHOST,US
30083,2,7865,0.021315144410103376%,83.82180539273153%,AS-30083-GO-DADDY-COM-LLC,US
30235,2,7867,0.021315144410103376%,83.84312053714163%,TWINSERVERS,US
30383,2,7869,0.021315144410103376%,83.86443568155174%,GENERAL-MOTORS-CORPORATION,US
30447,2,7871,0.021315144410103376%,83.88575082596185%,INFB2-AS,US
30496,2,7873,0.021315144410103376%,83.90706597037195%,AS-TIERP-30496,US
30630,2,7875,0.021315144410103376%,83.92838111478206%,HOMEAWAY,US
30736,2,7877,0.021315144410103376%,83.94969625919215%,ASERGO-AS,DK
30827,2,7879,0.021315144410103376%,83.97101140360226%,XTRAORDINARY-AS --- Transit providers ---,GB
30914,2,7881,0.021315144410103376%,83.99232654801236%,IOKO-AS,GB
31083,2,7883,0.021315144410103376%,84.01364169242247%,TELEPOINT,BG
31103,2,7885,0.021315144410103376%,84.03495683683258%,KEYWEB-AS,DE
31815,2,7887,0.021315144410103376%,84.05627198124267%,MEDIATEMPLE,US
31976,2,7889,0.021315144410103376%,84.07758712565277%,REDHAT-0,US
31997,2,7891,0.021315144410103376%,84.09890227006288%,ZONEALARM-COM,US
32181,2,7893,0.021315144410103376%,84.12021741447299%,ASN-GIGENET,US
32287,2,7895,0.021315144410103376%,84.14153255888309%,SOLANA-CITIPLEX,US
32354,2,7897,0.021315144410103376%,84.16284770329318%,UNWIRED,US
32666,2,7899,0.021315144410103376%,84.18416284770329%,CWRU-AS-1,US
32982,2,7901,0.021315144410103376%,84.2054779921134%,DOE-HQ,US
33055,2,7903,0.021315144410103376%,84.2267931365235%,BCC-65-182-96-0-PHX,US
33343,2,7905,0.021315144410103376%,84.2481082809336%,HCHBNET,US
33522,2,7907,0.021315144410103376%,84.2694234253437%,CPANEL-INC,US
34948,2,7909,0.021315144410103376%,84.29073856975381%,TYPHON-AS,FR
34962,2,7911,0.021315144410103376%,84.31205371416391%,ANONYMIZE Epik Network,CH
35280,2,7913,0.021315144410103376%,84.33336885857402%,ACORUS,FR
35415,2,7915,0.021315144410103376%,84.35468400298411%,WEBZILLA,NL
35425,2,7917,0.021315144410103376%,84.37599914739423%,BYTEMARK-AS,GB
35470,2,7919,0.021315144410103376%,84.39731429180432%,XL-AS,NL
35914,2,7921,0.021315144410103376%,84.41862943621443%,ARMOR-DEFENSE,US
36081,2,7923,0.021315144410103376%,84.43994458062454%,STATE-OF-COLORADO-MNT-NETWORK,US
36454,2,7925,0.021315144410103376%,84.46125972503464%,CNSV-LLC,US
36459,2,7927,0.021315144410103376%,84.48257486944473%,GITHUB,US
36483,2,7929,0.021315144410103376%,84.50389001385484%,GOSSAMERTHREADS,CA
37907,2,7931,0.021315144410103376%,84.52520515826495%,DIGIROCK DigiRock Inc.,JP
38365,2,7933,0.021315144410103376%,84.54652030267505%,BAIDU Beijing Baidu Netcom Science and Technology Co. Ltd.,CN
38470,2,7935,0.021315144410103376%,84.56783544708514%,DIBP-AS-AP DIBP,AU
38719,2,7937,0.021315144410103376%,84.58915059149525%,DREAMSCAPE-AS-AP Dreamscape Networks Limited,AU
39960,2,7939,0.021315144410103376%,84.61046573590536%,BARNES-AND-NOBLE,US
40260,2,7941,0.021315144410103376%,84.63178088031546%,TERRA-NETWORKS-MIAMI,US
40410,2,7943,0.021315144410103376%,84.65309602472557%,USFRCS-BGP,US
40824,2,7945,0.021315144410103376%,84.67441116913567%,WZCOM-,US
41690,2,7947,0.021315144410103376%,84.69572631354578%,DAILYMOTION For peering related business please mail peering@dailymotion.com,FR
42632,2,7949,0.021315144410103376%,84.71704145795587%,MNOGOBYTE-AS Moscow Russia,RU
43354,2,7951,0.021315144410103376%,84.73835660236598%,ZDF-AS,DE
43896,2,7953,0.021315144410103376%,84.75967174677609%,EVO,UA
44476,2,7955,0.021315144410103376%,84.78098689118619%,ZETTA-AS,BG
44684,2,7957,0.021315144410103376%,84.80230203559628%,MYTHIC Mythic Beasts Ltd,GB
44786,2,7959,0.021315144410103376%,84.8236171800064%,ADOBE-IRELAND-AS,IE
46652,2,7961,0.021315144410103376%,84.8449323244165%,SERVERSTACK-ASN,US
47172,2,7963,0.021315144410103376%,84.8662474688266%,GREENHOST,NL
47207,2,7965,0.021315144410103376%,84.8875626132367%,DIGIRES Digital Residence Network,NL
48287,2,7967,0.021315144410103376%,84.9088777576468%,RU-CENTER,RU
49063,2,7969,0.021315144410103376%,84.93019290205692%,DTLN,RU
49447,2,7971,0.021315144410103376%,84.95150804646701%,NICEIT,NL
49882,2,7973,0.021315144410103376%,84.97282319087712%,SKRILL,GB
50881,2,7975,0.021315144410103376%,84.99413833528722%,ESET-AS,SK
51964,2,7977,0.021315144410103376%,85.01545347969733%,ORANGE-BUSINESS-SERVICES-IPSN-ASN,FR
53667,2,7979,0.021315144410103376%,85.03676862410742%,PONYNET,US
53824,2,7981,0.021315144410103376%,85.05808376851753%,LIQUIDWEB,US
54489,2,7983,0.021315144410103376%,85.07939891292764%,CORESPACE-DAL,US
54535,2,7985,0.021315144410103376%,85.10071405733774%,NIKEUS-NV,US
54790,2,7987,0.021315144410103376%,85.12202920174784%,SHARECARE,US
55106,2,7989,0.021315144410103376%,85.14334434615795%,DATACATE-AS1,US
55532,2,7991,0.021315144410103376%,85.16465949056806%,SQUIZ-AS-AP Squiz Pty Ltd,AU
55651,2,7993,0.021315144410103376%,85.18597463497815%,DBOLICALPTYLTD-AU DBOLICAL PTY LTD,AU
55705,2,7995,0.021315144410103376%,85.20728977938825%,INDIATIMES-IN I World Tower DLF CITY,IN
55819,2,7997,0.021315144410103376%,85.22860492379836%,CAMPAIGNMONITOR-AS-GLOBAL CAMPAIGN MONITOR PTY LTD,AU
55960,2,7999,0.021315144410103376%,85.24992006820847%,BJ-GUANGHUAN-AP Beijing Guanghuan Xinwang Digital,CN
56135,2,8001,0.021315144410103376%,85.27123521261856%,SLICED-AS-AP Sliced Tech Holdings Unit Trust,AU
57656,2,8003,0.021315144410103376%,85.29255035702867%,ALTIA-AS,ES
57976,2,8005,0.021315144410103376%,85.31386550143877%,BLIZZARD,EU
58541,2,8007,0.021315144410103376%,85.33518064584888%,CHINATELECOM-SHANDONG-QINGDAO-IDC Qingdao 266000,CN
59019,2,8009,0.021315144410103376%,85.35649579025898%,BJKSCNET Beijing Kingsoft Cloud Internet Technology Co. Ltd,CN
59123,2,8011,0.021315144410103376%,85.37781093466909%,KAKAKUCOM Kakaku.com Inc.,JP
60314,2,8013,0.021315144410103376%,85.3991260790792%,jvelilla@bcn.cat,ES
60362,2,8015,0.021315144410103376%,85.42044122348929%,ALWAYSDATA,FR
61400,2,8017,0.021315144410103376%,85.44175636789939%,NETRACK-AS,RU
62795,2,8019,0.021315144410103376%,85.4630715123095%,CITRIXSYSTEMS-AS-,US
63086,2,8021,0.021315144410103376%,85.48438665671961%,UBER-PROD,US
63210,2,8023,0.021315144410103376%,85.5057018011297%,FC2-INC-2,US
131942,2,8025,0.021315144410103376%,85.5270169455398%,GURUNAVI-NET Gurunavi Inc.,JP
133119,2,8027,0.021315144410103376%,85.54833208994991%,UNICOM-CN China Unicom IP network,CN
133774,2,8029,0.021315144410103376%,85.56964723436002%,CHINATELECOM-FUJIAN-FUZHOU-IDC1 Fuzhou,CN
134418,2,8031,0.021315144410103376%,85.59096237877012%,CHINATELECOM-SHAANXI-XIXIAN-SMARTCLOUD-IDC SHAANXI province,CN
134763,2,8033,0.021315144410103376%,85.61227752318023%,CT-DONGGUAN-IDC CHINANET Guangdong province network,CN
135377,2,8035,0.021315144410103376%,85.63359266759032%,UHGL-AS-AP UCloud (HK) Holdings Group Limited,HK
138950,2,8037,0.021315144410103376%,85.65490781200043%,CHINATELECOM-JIANGSU-WUXI-INTERNATIONAL-IDC Jiangsu Wuxi International IDC network,CN
196645,2,8039,0.021315144410103376%,85.67622295641053%,HOSTPRO-AS,UA
196747,2,8041,0.021315144410103376%,85.69753810082064%,ELECTRONIC-GOVERNMENT,RU
198063,2,8043,0.021315144410103376%,85.71885324523075%,DWIN-AS,EU
198605,2,8045,0.021315144410103376%,85.74016838964084%,AVAST-AS-DC,CZ
198949,2,8047,0.021315144410103376%,85.76148353405094%,VS-AS,IL
199710,2,8049,0.021315144410103376%,85.78279867846105%,PERFORM-AS,GB
199796,2,8051,0.021315144410103376%,85.80411382287116%,MEDIAHUIS,BE
200777,2,8053,0.021315144410103376%,85.82542896728125%,DEUTSCHE-WELLE,DE
204993,2,8055,0.021315144410103376%,85.84674411169135%,ATRESMEDIA,ES
206015,2,8057,0.021315144410103376%,85.86805925610146%,VSCT-AS,FR
393245,2,8059,0.021315144410103376%,85.88937440051157%,YAHOO-SWB,US
393398,2,8061,0.021315144410103376%,85.91068954492167%,ASN-DIS,US
395082,2,8063,0.021315144410103376%,85.93200468933178%,BODIS-NJ,US
395402,2,8065,0.021315144410103376%,85.95331983374187%,NAR-19,US
4,1,8066,0.010657572205051688%,85.96397740594692%,ISI-AS,US
8,1,8067,0.010657572205051688%,85.97463497815198%,RICE-AS,US
9,1,8068,0.010657572205051688%,85.98529255035703%,CMU-ROUTER,US
12,1,8069,0.010657572205051688%,85.99595012256208%,NYU-DOMAIN,US
16,1,8070,0.010657572205051688%,86.00660769476714%,LBL,US
17,1,8071,0.010657572205051688%,86.01726526697219%,PURDUE,US
21,1,8072,0.010657572205051688%,86.02792283917724%,RAND,US
34,1,8073,0.010657572205051688%,86.03858041138228%,UDELNET,US
43,1,8074,0.010657572205051688%,86.04923798358733%,BNL-AS,US
46,1,8075,0.010657572205051688%,86.0598955557924%,RUTGERS,US
47,1,8076,0.010657572205051688%,86.07055312799744%,USC-AS,US
49,1,8077,0.010657572205051688%,86.08121070020249%,US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY,US
50,1,8078,0.010657572205051688%,86.09186827240755%,ORNL-MSRNET,US
52,1,8079,0.010657572205051688%,86.1025258446126%,UCLA,US
59,1,8080,0.010657572205051688%,86.11318341681765%,WISC-MADISON-AS,US
68,1,8081,0.010657572205051688%,86.12384098902271%,LANL-INET-AS,US
73,1,8082,0.010657572205051688%,86.13449856122776%,WASHINGTON-AS,US
88,1,8083,0.010657572205051688%,86.14515613343279%,PRINCETON-AS,US
91,1,8084,0.010657572205051688%,86.15581370563785%,RPI-AS,US
98,1,8085,0.010657572205051688%,86.1664712778429%,ROCKEFELLER-AS,US
102,1,8086,0.010657572205051688%,86.17712885004795%,NSF-HQ-AS,US
103,1,8087,0.010657572205051688%,86.18778642225301%,NWU-AS,US
109,1,8088,0.010657572205051688%,86.19844399445806%,CISCOSYSTEMS,US
111,1,8089,0.010657572205051688%,86.20910156666312%,BOSTONU-AS,US
122,1,8090,0.010657572205051688%,86.21975913886817%,UPMC-AS122,US
140,1,8091,0.010657572205051688%,86.23041671107322%,DNIC-AS-00140,US
160,1,8092,0.010657572205051688%,86.24107428327828%,U-CHICAGO-AS,US
161,1,8093,0.010657572205051688%,86.25173185548331%,TI-AS,US
194,1,8094,0.010657572205051688%,86.26238942768836%,NCAR-AS,US
196,1,8095,0.010657572205051688%,86.27304699989342%,BOEING196,US
203,1,8096,0.010657572205051688%,86.28370457209847%,CENTURYLINK-LEGACY-LVLT-203,US
205,1,8097,0.010657572205051688%,86.29436214430353%,MONTCLAIR-AS,US
217,1,8098,0.010657572205051688%,86.30501971650858%,UMN-SYSTEM,US
264,1,8099,0.010657572205051688%,86.31567728871363%,SRINET-AS,US
278,1,8100,0.010657572205051688%,86.32633486091869%,Universidad Nacional Autonoma de Mexico,MX
288,1,8101,0.010657572205051688%,86.33699243312374%,ESA Robert Bosch Strasse 5,EU
292,1,8102,0.010657572205051688%,86.34765000532879%,ESNET-WEST,US
293,1,8103,0.010657572205051688%,86.35830757753384%,ESNET,US
299,1,8104,0.010657572205051688%,86.36896514973888%,UCINET-AS,US
302,1,8105,0.010657572205051688%,86.37962272194393%,BCM-INFO-NET-AS,US
377,1,8106,0.010657572205051688%,86.390280294149%,SNLA-NET-AS,US
557,1,8107,0.010657572205051688%,86.40093786635404%,UMAINE-SYS-AS,US
589,1,8108,0.010657572205051688%,86.41159543855909%,UNT-CAMPUS-AS,US
611,1,8109,0.010657572205051688%,86.42225301076415%,NECN-1-611,CA
668,1,8110,0.010657572205051688%,86.4329105829692%,DNIC-AS-00668,US
679,1,8111,0.010657572205051688%,86.44356815517426%,TUNET-AS Technische Universitaet Wien,AT
